post_id	date	num_likes	num_angry	num_shares
904277726319518_1888748841205730	2018-08-10T16:42:52+0000	1063	6	244
904277726319518_1887456141335000	2018-08-10T01:01:45+0000	5690	136	4039
904277726319518_1887139704699977	2018-08-09T20:02:10+0000	1735	1	347
904277726319518_1885126178234663	2018-08-08T16:13:53+0000	2524	22	1034
904277726319518_1884669541613660	2018-08-08T11:17:35+0000	1930	8	685
904277726319518_1883252721755342	2018-08-07T15:40:31+0000	3763	25	1166
904277726319518_1883232408424040	2018-08-07T14:46:51+0000	1732	2	443
904277726319518_1883084385105509	2018-08-07T13:17:23+0000	2136	7	883
904277726319518_1878587515555196	2018-08-04T20:07:02+0000	5533	37	1088
904277726319518_1863644390382842	2018-07-26T17:33:52+0000	503	0	22
904277726319518_1858686334211981	2018-07-23T15:41:20+0000	1808	3	252
904277726319518_1858526600894621	2018-07-23T13:46:57+0000	641	22	42
904277726319518_1773255312755084	2018-05-20T01:59:03+0000	402	0	37
904277726319518_1753770754703540	2018-04-29T19:53:15+0000	2367	0	73
904277726319518_1739266896153926	2018-04-15T01:23:22+0000	403	1	39
904277726319518_1731706493576633	2018-04-07T17:03:18+0000	7005	6	4731
904277726319518_1684690058278277	2018-02-21T19:08:11+0000	2559	3	254
904277726319518_1655940894486527	2018-01-24T19:53:38+0000	1320	17	204
904277726319518_1655766287837321	2018-01-24T17:08:49+0000	245	59	50
904277726319518_1655505397863410	2018-01-24T11:47:34+0000	432	36	193
904277726319518_1654989534581663	2018-01-23T21:47:46+0000	618	9	61
904277726319518_1654981171249166	2018-01-23T21:37:36+0000	167	1	21
904277726319518_1654872284593388	2018-01-23T19:47:11+0000	612	4	176
904277726319518_1654776637936286	2018-01-23T18:04:03+0000	208	4	20
904277726319518_1654552087958741	2018-01-23T13:05:36+0000	534	1	122
904277726319518_1630727290341221	2017-12-30T10:10:08+0000	5231	719	1874
904277726319518_1622324737848143	2017-12-20T19:14:45+0000	665	0	21
904277726319518_1621135307967086	2017-12-19T12:23:13+0000	1835	126	186
904277726319518_1620650394682244	2017-12-18T22:26:01+0000	1552	0	188
904277726319518_1620163971397553	2017-12-18T11:09:13+0000	1153	48	95
904277726319518_1619576768122940	2017-12-17T18:19:19+0000	664	0	19
904277726319518_1618448054902478	2017-12-16T15:05:08+0000	1051	0	133
904277726319518_1614475025299781	2017-12-12T11:52:10+0000	2013	400	684
904277726319518_1612961168784500	2017-12-10T21:32:31+0000	550	2	30
904277726319518_1612651392148811	2017-12-10T14:45:50+0000	1890	38	97
904277726319518_1611106205636663	2017-12-08T22:54:50+0000	750	0	84
904277726319518_1608822409198376	2017-12-06T16:13:41+0000	3024	683	1123
904277726319518_1608149669265650	2017-12-05T23:07:10+0000	1083	383	185
904277726319518_1606667102747240	2017-12-04T12:18:09+0000	1986	2	1
904277726319518_1604842619596355	2017-12-02T13:49:15+0000	2680	0	4
904277726319518_1603717349708882	2017-12-01T11:05:55+0000	1946	20	256
904277726319518_1598175676929716	2017-11-26T00:49:35+0000	1187	0	90
904277726319518_1589387657808518	2017-11-16T18:27:29+0000	2869	1	451
904277726319518_1588304294583521	2017-11-15T14:07:55+0000	2729	1785	3098
904277726319518_1587215518025732	2017-11-14T11:00:39+0000	1297	0	81
904277726319518_1584052155008735	2017-11-10T23:26:11+0000	1025	0	92
904277726319518_1582876298459654	2017-11-09T16:22:23+0000	3462	0	5
904277726319518_1579085232172094	2017-11-05T12:02:25+0000	3062	1	287
904277726319518_1577196272360990	2017-11-03T13:21:17+0000	933	162	219
904277726319518_1574955882585029	2017-10-31T21:30:38+0000	1171	74	213
904277726319518_1574906252589992	2017-10-31T20:16:39+0000	342	0	72
904277726319518_1574857915928159	2017-10-31T19:21:40+0000	1075	3	334
904277726319518_1574805215933429	2017-10-31T17:58:07+0000	260	35	39
904277726319518_1574459479301336	2017-10-31T10:11:31+0000	2054	1	242
904277726319518_1573721416041809	2017-10-30T14:21:06+0000	1166	0	1
904277726319518_1572281009519183	2017-10-29T15:18:27+0000	3587	3	814
904277726319518_1571855386228412	2017-10-28T16:28:50+0000	1942	3	717
904277726319518_1570332679714016	2017-10-26T20:36:18+0000	2341	838	567
904277726319518_1568392989907985	2017-10-24T18:03:54+0000	1364	644	650
904277726319518_1567190636694887	2017-10-24T12:22:51+0000	1662	1	248
904277726319518_1567488776665073	2017-10-23T19:44:54+0000	14065	1	3238
904277726319518_1567314753349142	2017-10-23T15:38:24+0000	1282	0	81
904277726319518_1565748443505773	2017-10-22T17:35:46+0000	1708	0	449
904277726319518_1564532010294083	2017-10-20T10:54:13+0000	1775	39	204
904277726319518_1563044947109456	2017-10-18T17:20:58+0000	4655	1242	1264
904277726319518_1562925480454736	2017-10-18T14:44:17+0000	892	25	66
904277726319518_1562677620479522	2017-10-18T08:58:54+0000	3068	2	1775
904277726319518_1561321427281808	2017-10-16T18:02:52+0000	2325	0	42
904277726319518_1561276267286324	2017-10-16T17:15:57+0000	1914	0	471
904277726319518_1560220770725207	2017-10-15T11:53:13+0000	6146	1	488
904277726319518_1559871737426777	2017-10-15T01:15:17+0000	757	0	32
904277726319518_1555334624547155	2017-10-09T21:40:40+0000	1269	0	306
904277726319518_1555230071224277	2017-10-09T20:37:02+0000	367	0	83
904277726319518_1554455931301691	2017-10-08T20:39:08+0000	1404	0	105
904277726319518_1554308264649791	2017-10-08T17:05:22+0000	7124	20	871
904277726319518_1550732601674024	2017-10-04T12:42:09+0000	4876	137	1670
904277726319518_1545193815561236	2017-09-27T21:15:28+0000	537	1	122
904277726319518_1545178588896092	2017-09-27T19:44:09+0000	913	1	65
904277726319518_1544359872311297	2017-09-26T16:55:51+0000	2119	0	586
904277726319518_1542853889128562	2017-09-24T19:37:11+0000	8991	0	248
904277726319518_1542824555798162	2017-09-24T19:03:18+0000	1017	0	97
904277726319518_1540727579341193	2017-09-22T10:51:53+0000	1931	0	257
904277726319518_1540238586056759	2017-09-21T20:24:35+0000	1643	101	270
904277726319518_1538940872853197	2017-09-20T11:58:31+0000	1881	162	563
904277726319518_1538000102947274	2017-09-19T11:25:55+0000	2676	66	338
904277726319518_1537233366357281	2017-09-18T17:25:55+0000	4624	286	741
904277726319518_1535954309818520	2017-09-17T14:45:26+0000	17650	3	1702
904277726319518_1534370589976892	2017-09-15T21:27:48+0000	443	0	29
904277726319518_1533923506688267	2017-09-15T10:34:35+0000	489	82	1
904277726319518_1532568636823754	2017-09-13T22:36:45+0000	2240	182	377
904277726319518_1531623906918227	2017-09-12T22:03:47+0000	956	4	219
904277726319518_1531318063615478	2017-09-12T15:29:18+0000	1135	2	546
904277726319518_1531280940285857	2017-09-12T14:50:05+0000	401	0	69
904277726319518_1530729273674357	2017-09-11T22:42:37+0000	909	1	157
904277726319518_1527217567358861	2017-09-07T11:22:49+0000	920	0	185
904277726319518_1524133291000622	2017-09-03T15:21:30+0000	1823	1774	872
904277726319518_1522529067827711	2017-09-01T17:36:59+0000	988	0	104
904277726319518_1330458123701474	2017-08-30T17:51:17+0000	1456	0	250
904277726319518_1520320211381930	2017-08-30T12:05:08+0000	1985	185	528
904277726319518_1518926468187971	2017-08-28T22:30:27+0000	655	8	241
904277726319518_1518638588216759	2017-08-28T14:10:47+0000	2814	10	323
904277726319518_1517843151629636	2017-08-27T13:38:50+0000	2099	0	86
904277726319518_1517092388371379	2017-08-26T15:55:32+0000	4201	3	389
904277726319518_1516207348459883	2017-08-25T15:09:13+0000	365	0	18
904277726319518_1513989135348371	2017-08-22T21:13:33+0000	4083	1	854
904277726319518_1513070298773588	2017-08-21T18:16:26+0000	4858	9	503
904277726319518_1512052458875372	2017-08-20T13:22:09+0000	2830	3	279
904277726319518_1510614149019203	2017-08-18T19:42:33+0000	595	0	69
904277726319518_1510319472382004	2017-08-18T13:08:41+0000	3270	997	1733
904277726319518_1509447039135914	2017-08-17T13:13:18+0000	284	0	37
904277726319518_1508739439206674	2017-08-16T17:03:50+0000	2677	0	392
904277726319518_1507730052640946	2017-08-15T13:16:08+0000	1717	0	774
904277726319518_1506911076056177	2017-08-14T15:21:19+0000	6275	47	382
904277726319518_1504196262994325	2017-08-11T18:18:29+0000	984	0	0
904277726319518_1504132216334063	2017-08-11T16:35:37+0000	520	0	0
904277726319518_1504059736341311	2017-08-11T14:47:12+0000	650	0	0
904277726319518_1500670070013611	2017-08-07T22:49:49+0000	1153	1	161
904277726319518_1500460280034590	2017-08-07T17:29:17+0000	877	0	51
904277726319518_1497518800328738	2017-08-05T00:22:06+0000	534	1	67
904277726319518_1497463580334260	2017-08-04T23:28:13+0000	1160	1	208
904277726319518_1494003407346944	2017-08-01T20:39:00+0000	8262	4	1804
904277726319518_1493772520703366	2017-08-01T13:37:02+0000	3682	908	1203
904277726319518_1493347450745873	2017-08-01T01:00:37+0000	3971	0	457
904277726319518_1492884127458872	2017-07-31T20:25:05+0000	1577	196	421
904277726319518_1492760077471277	2017-07-31T11:10:02+0000	1354	1	400
904277726319518_1492288277518457	2017-07-30T21:10:08+0000	4503	487	1520
904277726319518_1492084624205489	2017-07-30T16:13:44+0000	792	0	80
904277726319518_1491327550947863	2017-07-29T18:51:43+0000	4557	2	0
904277726319518_1483544038392881	2017-07-21T20:37:56+0000	3927	4	1347
904277726319518_1483237301756888	2017-07-21T14:05:04+0000	3357	2	441
904277726319518_1481418545272097	2017-07-19T16:56:02+0000	897	1	53
904277726319518_1479198438827441	2017-07-17T11:53:19+0000	8136	9	941
904277726319518_1471793972901221	2017-07-09T23:48:25+0000	1322	2	101
904277726319518_1452188101528475	2017-06-21T00:31:00+0000	1016	0	0
904277726319518_1451654518248500	2017-06-20T14:33:50+0000	432	0	0
904277726319518_1441477619266190	2017-06-10T17:31:52+0000	6154	21	612
904277726319518_1435708526509766	2017-06-05T23:39:37+0000	3198	2	586
904277726319518_1432376200176332	2017-06-02T19:58:23+0000	4103	0	571
904277726319518_1407628722651080	2017-05-08T14:52:26+0000	2428	0	130
904277726319518_1397943573619595	2017-04-30T00:35:04+0000	1886	1	136
904277726319518_1391031660977453	2017-04-22T14:09:40+0000	2224	1	174
904277726319518_1390136971066922	2017-04-21T15:05:59+0000	1882	1	90
904277726319518_1388251487922137	2017-04-19T18:55:00+0000	2221	0	99
904277726319518_1385134351567184	2017-04-16T13:38:09+0000	2779	0	47
904277726319518_1382240351856584	2017-04-13T14:28:20+0000	1615	0	146
904277726319518_1379456415468311	2017-04-10T20:41:18+0000	2809	1	117
904277726319518_1377499478997338	2017-04-08T22:53:55+0000	3619	1	292
904277726319518_1376623269084959	2017-04-08T01:56:15+0000	2287	2	289
904277726319518_1372727602807859	2017-04-04T10:13:08+0000	29844	307	12794
904277726319518_1367426143338005	2017-04-01T15:19:20+0000	5082	0	850
904277726319518_1366309763449643	2017-03-28T14:22:16+0000	2658	0	65
904277726319518_1365216116892341	2017-03-27T11:04:21+0000	5010	1	288
904277726319518_1364298840317402	2017-03-26T12:53:25+0000	2840	1	140
904277726319518_1362249813855638	2017-03-24T10:32:47+0000	4040	10	714
904277726319518_1361701150577171	2017-03-23T21:16:38+0000	10375	3	498
904277726319518_1360418557372097	2017-03-22T19:40:31+0000	2738	1	59
904277726319518_1358376160909670	2017-03-21T14:23:40+0000	5374	4	1187
904277726319518_1356172351130051	2017-03-18T18:35:58+0000	2269	5	135
904277726319518_1354229617990991	2017-03-17T10:24:54+0000	3710	1	98
904277726319518_1352253181521968	2017-03-14T16:15:37+0000	5094	2	573
904277726319518_1347944451952841	2017-03-11T13:55:28+0000	2724	0	126
904277726319518_1347113622035924	2017-03-10T11:04:13+0000	3209	347	539
904277726319518_1337434249670528	2017-03-02T10:33:33+0000	2618	63	696
