post_id	date	message	num_likes	num_angry	num_shares
904277726319518_2762413740505898	2020-01-05T20:25:06+0000	"O PT NA OPOSI\u00c7\u00c3O AO GOVERNO BOLSONARO\nEntrevista \u00e0 TV da Assembleia de MG que concedi no final do ano passado."	3400	7	597
904277726319518_2759272564153349	2020-01-04T11:04:09+0000	"Coluna da semana sobre ind\u00fastria e burguesia nacional e as afinidades ideol\u00f3gicas dos empres\u00e1rios com o fascismo, nos anos 1930, e com Bolsonaro, hoje."	1396	16	256
904277726319518_2748169108597028	2019-12-30T13:14:22+0000	"Para Olavo de Carvalho, \u201cquem manda no pa\u00eds \u00e9 Fernando Haddad que em 1998 criou um plano para o PT cujo resumo \u00e9 a eleva\u00e7\u00e3o pol\u00edtica do lumpemproletariado. S\u00e3o bandidos, prostitutas, drogados, loucos. O lumpemproletariado domina o panorama nacional\u201d \ud83d\ude02\ud83d\ude0e\ud83d\udc95"	3501	110	1010
904277726319518_2745934372153835	2019-12-29T12:01:59+0000	"Uma grande mulher. Tristeza."	4304	8	604
904277726319518_2743657325714873	2019-12-28T10:22:13+0000	"Coluna da semana sobre os ataques de Bolsonaro \u00e0 universidade p\u00fablica e a recente Medida Provis\u00f3ria sobre escolha de reitor."	1793	35	324
904277726319518_2740611092686163	2019-12-26T21:43:23+0000	""	1862	887	715
904277726319518_2735834633163809	2019-12-24T18:00:28+0000	"Feliz Natal!"	1793	0	87
904277726319518_2732180580195881	2019-12-23T01:02:05+0000	"Lema do time: cora\u00e7\u00e3o, mente e esp\u00edrito: 2 x 1."	8529	1	274
904277726319518_2731984840215455	2019-12-22T22:25:49+0000	"Hoje na partida de futebol dos amigos do Lula e do Chico Buarque contra os amigos do MST.\n\nFoto: Ricardo Stuckert"	17430	13	779
904277726319518_2728687927211813	2019-12-21T11:28:53+0000	"Coluna da semana \u00e9 sobre o aumento da desigualdade sob Bolsonaro, que penaliza os 50% mais pobres.  As raz\u00f5es e as novas amea\u00e7as do governo."	1740	64	353
904277726319518_2725475510866388	2019-12-19T22:42:18+0000	"Moro responsabilizou o Supremo pelo aumento da percep\u00e7\u00e3o social de corrup\u00e7\u00e3o. Deveria pedir para a Corte negar o Habeas Corpus pedido por Flavio Bolsonaro."	6411	12	696
904277726319518_2724480117632594	2019-12-19T12:11:13+0000	"No ato em defesa da cultura com Lula. Valeu, Rio de Janeiro! \n\nFotos: Ricardo Stuckert"	8963	6	639
904277726319518_482776805692148	2019-12-16T23:00:59+0000	"Fernando Haddad entrevista o economista Paulo Nogueira Batista Jr."	1977	5	464
904277726319518_2716175305129742	2019-12-15T14:00:43+0000	"Na pr\u00f3xima segunda, entrevisto o economista Paulo Nogueira Batista Jr. \u00c9 \u00e0s 20h, na AllTV e nas nossas redes sociais."	3631	7	172
